OrderID,Odate,Sdate,City,State,Country,ZIP,Region,ProdID,Category,ProdName,Sales,Quantity,Discount,Profit,Shipping Cost
CA-2013-114104,2013-11-21,2013-11-25,Edmond,Oklahoma,United States,73034,Central,TEC-PH-10004536,Technology,Avaya 5420 Digital phone,944.93,7,0,236.2325,82.39
CA-2013-162733,2013-05-12,2013-05-13,Los Angeles,California,United States,90045,West,OFF-PA-10002751,Office Supplies,Xerox 1920,5.98,1,0,2.691,0.41
CA-2013-154508,2013-11-17,2013-11-21,Carlsbad,New Mexico,United States,88220,West,OFF-EN-10001990,Office Supplies,Staples,28.4,5,0,13.348,4.01
CA-2013-113817,2013-11-08,2013-11-12,Seattle,Washington,United States,98115,West,OFF-BI-10004002,Office Supplies,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,4.77
CA-2011-139892,2011-09-08,2011-09-12,San Antonio,Texas,United States,78207,Central,TEC-MA-10000822,Technology,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992,342.11
CA-2011-139892,2011-09-08,2011-09-12,San Antonio,Texas,United States,78207,Central,OFF-ST-10000991,Office Supplies,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347,16.53
CA-2011-139892,2011-09-08,2011-09-12,San Antonio,Texas,United States,78207,Central,OFF-AR-10002656,Office Supplies,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,1.31
CA-2011-139892,2011-09-08,2011-09-12,San Antonio,Texas,United States,78207,Central,OFF-AP-10002518,Office Supplies,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849,15.17
CA-2011-118962,2011-08-05,2011-08-09,Los Angeles,California,United States,90004,West,OFF-PA-10000659,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418,1.81
CA-2011-118962,2011-08-05,2011-08-09,Los Angeles,California,United States,90004,West,OFF-PA-10001144,Office Supplies,Xerox 1913,110.96,2,0,53.2608,4.59
US-2011-100853,2011-09-14,2011-09-19,Chicago,Illinois,United States,60623,Central,OFF-AP-10000891,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12,4.09
US-2011-100853,2011-09-14,2011-09-19,Chicago,Illinois,United States,60623,Central,OFF-LA-10003148,Office Supplies,Avery 51,20.16,4,0.2,6.552,1.33
US-2012-101511,2012-11-21,2012-11-23,Newark,Ohio,United States,43055,East,FUR-CH-10004698,Furniture,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372,66.22
US-2012-101511,2012-11-21,2012-11-23,Newark,Ohio,United States,43055,East,OFF-SU-10002189,Office Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715,2.91
CA-2011-166191,2011-12-05,2011-12-09,Decatur,Illinois,United States,62521,Central,OFF-ST-10003455,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,2.87
CA-2011-166191,2011-12-05,2011-12-09,Decatur,Illinois,United States,62521,Central,TEC-AC-10004659,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395,44.64
CA-2011-158274,2011-11-19,2011-11-24,Monroe,Louisiana,United States,71203,South,TEC-PH-10004896,Technology,Nokia Lumia 521 (T-Mobile),149.95,5,0,41.986,5.31
CA-2011-158274,2011-11-19,2011-11-24,Monroe,Louisiana,United States,71203,South,TEC-AC-10002345,Technology,HP Standard 104 key PS/2 Keyboard,29,2,0,7.25,0.78
CA-2011-123260,2011-08-26,2011-08-30,Los Angeles,California,United States,90032,West,TEC-AC-10002323,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984,9.53
CA-2013-157000,2013-07-17,2013-07-23,Grand Prairie,Texas,United States,75051,Central,OFF-ST-10001328,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224,4.08
CA-2012-102281,2012-10-12,2012-10-14,New York City,New York,United States,10035,East,FUR-BO-10002613,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392,314.38
CA-2012-102281,2012-10-12,2012-10-14,New York City,New York,United States,10035,East,TEC-PH-10001552,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,20.0928,18.15
CA-2012-102281,2012-10-12,2012-10-14,New York City,New York,United States,10035,East,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764,160.17
CA-2012-102281,2012-10-12,2012-10-14,New York City,New York,United States,10035,East,OFF-AR-10003514,Office Supplies,4009 Highlighters by Sanford,19.9,5,0,6.567,8.56
CA-2011-140004,2011-03-21,2011-03-25,Hamilton,Ohio,United States,45011,East,OFF-AR-10004685,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038,0.73
CA-2011-140004,2011-03-21,2011-03-25,Hamilton,Ohio,United States,45011,East,OFF-AR-10004027,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,1.5876,0.58
US-2014-124303,2014-07-07,2014-07-14,Philadelphia,Pennsylvania,United States,19120,East,OFF-BI-10000343,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586,0.17
US-2014-124303,2014-07-07,2014-07-14,Philadelphia,Pennsylvania,United States,19120,East,OFF-PA-10002749,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203,1.22
CA-2011-133690,2011-08-03,2011-08-05,Denver,Colorado,United States,80219,West,FUR-TA-10004289,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875,30.18
CA-2011-133690,2011-08-03,2011-08-05,Denver,Colorado,United States,80219,West,OFF-AP-10003622,Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925,0.59
CA-2014-126382,2014-06-04,2014-06-08,Franklin,Tennessee,United States,37064,South,FUR-FU-10002960,Furniture,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712,3.33
CA-2014-108329,2014-12-10,2014-12-15,Whittier,California,United States,90604,West,TEC-PH-10001918,Technology,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768,41.85
CA-2014-135860,2014-12-02,2014-12-08,Saginaw,Michigan,United States,48601,Central,TEC-PH-10001700,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346,11.59
CA-2014-135860,2014-12-02,2014-12-08,Saginaw,Michigan,United States,48601,Central,OFF-BI-10003274,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824,1.37
